
 Event Time in Mabp  , 12                  , HC Masses in Tons   ,
 3                   , 3                   , Remaining           ,
 3                   , 3                   , Primary             ,
 3                   , 3                   , Secondary In        ,
 3                   , 3                   , Secondary Out       ,
 3                   , 3                   , Liquid              ,
 3                   , 3                   , Vapor               ,
 3                   , 3                   , Water               ,
 3                   , 3                   , Adsorbed            ,
 3                   , 3                   , Inflow              ,
 3                   , 3                   , Outflow             ,
 3                   , 3                   , Top Outflow Layer   ,
 3                   , 3                   , Sid Outflow Layer   ,
 2                   , 4                   , Remaining           ,
 2                   , 4                   , Primary             ,
 2                   , 4                   , Secondary In        ,
 2                   , 4                   , Secondary Out       ,
 2                   , 4                   , Liquid              ,
 2                   , 4                   , Vapor               ,
 2                   , 4                   , Water               ,
 2                   , 4                   , Adsorbed            ,
 2                   , 4                   , Inflow              ,
 2                   , 4                   , Outflow             ,
 2                   , 4                   , Top Outflow Layer   ,
 2                   , 4                   , Sid Outflow Layer   ,
 1                   , 5                   , Remaining           ,
 1                   , 5                   , Primary             ,
 1                   , 5                   , Secondary In        ,
 1                   , 5                   , Secondary Out       ,
 1                   , 5                   , Liquid              ,
 1                   , 5                   , Vapor               ,
 1                   , 5                   , Water               ,
 1                   , 5                   , Adsorbed            ,
 1                   , 5                   , Inflow              ,
 1                   , 5                   , Outflow             ,
 1                   , 5                   , Top Outflow Layer   ,
 1                   , 5                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 7                   , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 5                   , 1                   , Remaining           ,
 5                   , 1                   , Primary             ,
 5                   , 1                   , Secondary In        ,
 5                   , 1                   , Secondary Out       ,
 5                   , 1                   , Liquid              ,
 5                   , 1                   , Vapor               ,
 5                   , 1                   , Water               ,
 5                   , 1                   , Adsorbed            ,
 5                   , 1                   , Inflow              ,
 5                   , 1                   , Outflow             ,
 5                   , 1                   , Top Outflow Layer   ,
 5                   , 1                   , Sid Outflow Layer   ,
 4                   , 2                   , Remaining           ,
 4                   , 2                   , Primary             ,
 4                   , 2                   , Secondary In        ,
 4                   , 2                   , Secondary Out       ,
 4                   , 2                   , Liquid              ,
 4                   , 2                   , Vapor               ,
 4                   , 2                   , Water               ,
 4                   , 2                   , Adsorbed            ,
 4                   , 2                   , Inflow              ,
 4                   , 2                   , Outflow             ,
 4                   , 2                   , Top Outflow Layer   ,
 4                   , 2                   , Sid Outflow Layer   ,
 3                   , 3                   , Remaining           ,
 3                   , 3                   , Primary             ,
 3                   , 3                   , Secondary In        ,
 3                   , 3                   , Secondary Out       ,
 3                   , 3                   , Liquid              ,
 3                   , 3                   , Vapor               ,
 3                   , 3                   , Water               ,
 3                   , 3                   , Adsorbed            ,
 3                   , 3                   , Inflow              ,
 3                   , 3                   , Outflow             ,
 3                   , 3                   , Top Outflow Layer   ,
 3                   , 3                   , Sid Outflow Layer   ,
 2                   , 4                   , Remaining           ,
 2                   , 4                   , Primary             ,
 2                   , 4                   , Secondary In        ,
 2                   , 4                   , Secondary Out       ,
 2                   , 4                   , Liquid              ,
 2                   , 4                   , Vapor               ,
 2                   , 4                   , Water               ,
 2                   , 4                   , Adsorbed            ,
 2                   , 4                   , Inflow              ,
 2                   , 4                   , Outflow             ,
 2                   , 4                   , Top Outflow Layer   ,
 2                   , 4                   , Sid Outflow Layer   ,
 1                   , 5                   , Remaining           ,
 1                   , 5                   , Primary             ,
 1                   , 5                   , Secondary In        ,
 1                   , 5                   , Secondary Out       ,
 1                   , 5                   , Liquid              ,
 1                   , 5                   , Vapor               ,
 1                   , 5                   , Water               ,
 1                   , 5                   , Adsorbed            ,
 1                   , 5                   , Inflow              ,
 1                   , 5                   , Outflow             ,
 1                   , 5                   , Top Outflow Layer   ,
 1                   , 5                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 1                   , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 5                   , 1                   , Remaining           ,
 5                   , 1                   , Primary             ,
 5                   , 1                   , Secondary In        ,
 5                   , 1                   , Secondary Out       ,
 5                   , 1                   , Liquid              ,
 5                   , 1                   , Vapor               ,
 5                   , 1                   , Water               ,
 5                   , 1                   , Adsorbed            ,
 5                   , 1                   , Inflow              ,
 5                   , 1                   , Outflow             ,
 5                   , 1                   , Top Outflow Layer   ,
 5                   , 1                   , Sid Outflow Layer   ,
 4                   , 2                   , Remaining           ,
 4                   , 2                   , Primary             ,
 4                   , 2                   , Secondary In        ,
 4                   , 2                   , Secondary Out       ,
 4                   , 2                   , Liquid              ,
 4                   , 2                   , Vapor               ,
 4                   , 2                   , Water               ,
 4                   , 2                   , Adsorbed            ,
 4                   , 2                   , Inflow              ,
 4                   , 2                   , Outflow             ,
 4                   , 2                   , Top Outflow Layer   ,
 4                   , 2                   , Sid Outflow Layer   ,
 3                   , 3                   , Remaining           ,
 3                   , 3                   , Primary             ,
 3                   , 3                   , Secondary In        ,
 3                   , 3                   , Secondary Out       ,
 3                   , 3                   , Liquid              ,
 3                   , 3                   , Vapor               ,
 3                   , 3                   , Water               ,
 3                   , 3                   , Adsorbed            ,
 3                   , 3                   , Inflow              ,
 3                   , 3                   , Outflow             ,
 3                   , 3                   , Top Outflow Layer   ,
 3                   , 3                   , Sid Outflow Layer   ,
 2                   , 4                   , Remaining           ,
 2                   , 4                   , Primary             ,
 2                   , 4                   , Secondary In        ,
 2                   , 4                   , Secondary Out       ,
 2                   , 4                   , Liquid              ,
 2                   , 4                   , Vapor               ,
 2                   , 4                   , Water               ,
 2                   , 4                   , Adsorbed            ,
 2                   , 4                   , Inflow              ,
 2                   , 4                   , Outflow             ,
 2                   , 4                   , Top Outflow Layer   ,
 2                   , 4                   , Sid Outflow Layer   ,
 1                   , 5                   , Remaining           ,
 1                   , 5                   , Primary             ,
 1                   , 5                   , Secondary In        ,
 1                   , 5                   , Secondary Out       ,
 1                   , 5                   , Liquid              ,
 1                   , 5                   , Vapor               ,
 1                   , 5                   , Water               ,
 1                   , 5                   , Adsorbed            ,
 1                   , 5                   , Inflow              ,
 1                   , 5                   , Outflow             ,
 1                   , 5                   , Top Outflow Layer   ,
 1                   , 5                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 0.9                 , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 5                   , 1                   , Remaining           ,
 5                   , 1                   , Primary             ,
 5                   , 1                   , Secondary In        ,
 5                   , 1                   , Secondary Out       ,
 5                   , 1                   , Liquid              ,
 5                   , 1                   , Vapor               ,
 5                   , 1                   , Water               ,
 5                   , 1                   , Adsorbed            ,
 5                   , 1                   , Inflow              ,
 5                   , 1                   , Outflow             ,
 5                   , 1                   , Top Outflow Layer   ,
 5                   , 1                   , Sid Outflow Layer   ,
 4                   , 2                   , Remaining           ,
 4                   , 2                   , Primary             ,
 4                   , 2                   , Secondary In        ,
 4                   , 2                   , Secondary Out       ,
 4                   , 2                   , Liquid              ,
 4                   , 2                   , Vapor               ,
 4                   , 2                   , Water               ,
 4                   , 2                   , Adsorbed            ,
 4                   , 2                   , Inflow              ,
 4                   , 2                   , Outflow             ,
 4                   , 2                   , Top Outflow Layer   ,
 4                   , 2                   , Sid Outflow Layer   ,
 3                   , 3                   , Remaining           ,
 3                   , 3                   , Primary             ,
 3                   , 3                   , Secondary In        ,
 3                   , 3                   , Secondary Out       ,
 3                   , 3                   , Liquid              ,
 3                   , 3                   , Vapor               ,
 3                   , 3                   , Water               ,
 3                   , 3                   , Adsorbed            ,
 3                   , 3                   , Inflow              ,
 3                   , 3                   , Outflow             ,
 3                   , 3                   , Top Outflow Layer   ,
 3                   , 3                   , Sid Outflow Layer   ,
 2                   , 4                   , Remaining           ,
 2                   , 4                   , Primary             ,
 2                   , 4                   , Secondary In        ,
 2                   , 4                   , Secondary Out       ,
 2                   , 4                   , Liquid              ,
 2                   , 4                   , Vapor               ,
 2                   , 4                   , Water               ,
 2                   , 4                   , Adsorbed            ,
 2                   , 4                   , Inflow              ,
 2                   , 4                   , Outflow             ,
 2                   , 4                   , Top Outflow Layer   ,
 2                   , 4                   , Sid Outflow Layer   ,
 1                   , 5                   , Remaining           ,
 1                   , 5                   , Primary             ,
 1                   , 5                   , Secondary In        ,
 1                   , 5                   , Secondary Out       ,
 1                   , 5                   , Liquid              ,
 1                   , 5                   , Vapor               ,
 1                   , 5                   , Water               ,
 1                   , 5                   , Adsorbed            ,
 1                   , 5                   , Inflow              ,
 1                   , 5                   , Outflow             ,
 1                   , 5                   , Top Outflow Layer   ,
 1                   , 5                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,

 Event Time in Mabp  , 0                   , HC Masses in Tons   ,
 Layer               , Facies              , Entity              ,
 5                   , 1                   , Remaining           ,
 5                   , 1                   , Primary             ,
 5                   , 1                   , Secondary In        ,
 5                   , 1                   , Secondary Out       ,
 5                   , 1                   , Liquid              ,
 5                   , 1                   , Vapor               ,
 5                   , 1                   , Water               ,
 5                   , 1                   , Adsorbed            ,
 5                   , 1                   , Inflow              ,
 5                   , 1                   , Outflow             ,
 5                   , 1                   , Top Outflow Layer   ,
 5                   , 1                   , Sid Outflow Layer   ,
 4                   , 2                   , Remaining           ,
 4                   , 2                   , Primary             ,
 4                   , 2                   , Secondary In        ,
 4                   , 2                   , Secondary Out       ,
 4                   , 2                   , Liquid              ,
 4                   , 2                   , Vapor               ,
 4                   , 2                   , Water               ,
 4                   , 2                   , Adsorbed            ,
 4                   , 2                   , Inflow              ,
 4                   , 2                   , Outflow             ,
 4                   , 2                   , Top Outflow Layer   ,
 4                   , 2                   , Sid Outflow Layer   ,
 3                   , 3                   , Remaining           ,
 3                   , 3                   , Primary             ,
 3                   , 3                   , Secondary In        ,
 3                   , 3                   , Secondary Out       ,
 3                   , 3                   , Liquid              ,
 3                   , 3                   , Vapor               ,
 3                   , 3                   , Water               ,
 3                   , 3                   , Adsorbed            ,
 3                   , 3                   , Inflow              ,
 3                   , 3                   , Outflow             ,
 3                   , 3                   , Top Outflow Layer   ,
 3                   , 3                   , Sid Outflow Layer   ,
 2                   , 4                   , Remaining           ,
 2                   , 4                   , Primary             ,
 2                   , 4                   , Secondary In        ,
 2                   , 4                   , Secondary Out       ,
 2                   , 4                   , Liquid              ,
 2                   , 4                   , Vapor               ,
 2                   , 4                   , Water               ,
 2                   , 4                   , Adsorbed            ,
 2                   , 4                   , Inflow              ,
 2                   , 4                   , Outflow             ,
 2                   , 4                   , Top Outflow Layer   ,
 2                   , 4                   , Sid Outflow Layer   ,
 1                   , 5                   , Remaining           ,
 1                   , 5                   , Primary             ,
 1                   , 5                   , Secondary In        ,
 1                   , 5                   , Secondary Out       ,
 1                   , 5                   , Liquid              ,
 1                   , 5                   , Vapor               ,
 1                   , 5                   , Water               ,
 1                   , 5                   , Adsorbed            ,
 1                   , 5                   , Inflow              ,
 1                   , 5                   , Outflow             ,
 1                   , 5                   , Top Outflow Layer   ,
 1                   , 5                   , Sid Outflow Layer   ,
 0                   , 0                   , Top Outflow         ,
 0                   , 0                   , Sid Outflow         ,
