
 Event Time in Mabp  , 3.6                 , HC Masses in Tons   ,
 Layer               , Facies              , Kerogen             , Generated           , Primary             , Secondary In        , Secondary Out       , Accumulated         , Liquid Petroleum    , Gas                 , Water               , Adsorbed            , Migrated            , Inflow              , OutFlow             , Liq. Density        , Vapor Density       , Layer Name          , Facies Name         , Source Flag         , Reservoir Flag      ,
 3                   , 6                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Tuituki Sst         , Facies_6            , 0                   , 1                   ,
 2                   , 7                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , mid-Plio Clay       , Facies_7            , 0                   , 0                   ,
 1                   , 8                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , late Mio Clay       , Facies_8            , 0                   , 0                   ,
 All                 , All                 , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , All                 , All                 , 0                   , 0                   ,

 Event Time in Mabp  , 2.4                 , HC Masses in Tons   ,
 Layer               , Facies              , Kerogen             , Generated           , Primary             , Secondary In        , Secondary Out       , Accumulated         , Liquid Petroleum    , Gas                 , Water               , Adsorbed            , Migrated            , Inflow              , OutFlow             , Liq. Density        , Vapor Density       , Layer Name          , Facies Name         , Source Flag         , Reservoir Flag      ,
 8                   , 1                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Alluvium Gravels    , Facies_1            , 0                   , 0                   ,
 7                   , 2                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Quaternary Clays    , Facies_2            , 0                   , 0                   ,
 6                   , 3                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Pukeora Oyster Beds , Facies_3            , 0                   , 0                   ,
 5                   , 4                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Makaretu MS         , Facies_4            , 0                   , 0                   ,
 4                   , 5                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Te Onepu LS         , Facies_5            , 0                   , 1                   ,
 3                   , 6                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Tuituki Sst         , Facies_6            , 0                   , 1                   ,
 2                   , 7                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , mid-Plio Clay       , Facies_7            , 0                   , 0                   ,
 1                   , 8                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , late Mio Clay       , Facies_8            , 0                   , 0                   ,
 All                 , All                 , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , All                 , All                 , 0                   , 0                   ,

 Event Time in Mabp  , 2                   , HC Masses in Tons   ,
 Layer               , Facies              , Kerogen             , Generated           , Primary             , Secondary In        , Secondary Out       , Accumulated         , Liquid Petroleum    , Gas                 , Water               , Adsorbed            , Migrated            , Inflow              , OutFlow             , Liq. Density        , Vapor Density       , Layer Name          , Facies Name         , Source Flag         , Reservoir Flag      ,
 8                   , 1                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Alluvium Gravels    , Facies_1            , 0                   , 0                   ,
 7                   , 2                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Quaternary Clays    , Facies_2            , 0                   , 0                   ,
 6                   , 3                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Pukeora Oyster Beds , Facies_3            , 0                   , 0                   ,
 5                   , 4                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Makaretu MS         , Facies_4            , 0                   , 0                   ,
 4                   , 5                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Te Onepu LS         , Facies_5            , 0                   , 1                   ,
 3                   , 6                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Tuituki Sst         , Facies_6            , 0                   , 1                   ,
 2                   , 7                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , mid-Plio Clay       , Facies_7            , 0                   , 0                   ,
 1                   , 8                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , late Mio Clay       , Facies_8            , 0                   , 0                   ,
 All                 , All                 , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , All                 , All                 , 0                   , 0                   ,

 Event Time in Mabp  , 1                   , HC Masses in Tons   ,
 Layer               , Facies              , Kerogen             , Generated           , Primary             , Secondary In        , Secondary Out       , Accumulated         , Liquid Petroleum    , Gas                 , Water               , Adsorbed            , Migrated            , Inflow              , OutFlow             , Liq. Density        , Vapor Density       , Layer Name          , Facies Name         , Source Flag         , Reservoir Flag      ,
 8                   , 1                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Alluvium Gravels    , Facies_1            , 0                   , 0                   ,
 7                   , 2                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Quaternary Clays    , Facies_2            , 0                   , 0                   ,
 6                   , 3                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Pukeora Oyster Beds , Facies_3            , 0                   , 1                   ,
 5                   , 4                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Makaretu MS         , Facies_4            , 0                   , 0                   ,
 4                   , 5                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Te Onepu LS         , Facies_5            , 0                   , 1                   ,
 3                   , 6                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Tuituki Sst         , Facies_6            , 0                   , 1                   ,
 2                   , 7                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , mid-Plio Clay       , Facies_7            , 0                   , 0                   ,
 1                   , 8                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , late Mio Clay       , Facies_8            , 0                   , 0                   ,
 All                 , All                 , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , All                 , All                 , 0                   , 0                   ,

 Event Time in Mabp  , 0.5                 , HC Masses in Tons   ,
 Layer               , Facies              , Kerogen             , Generated           , Primary             , Secondary In        , Secondary Out       , Accumulated         , Liquid Petroleum    , Gas                 , Water               , Adsorbed            , Migrated            , Inflow              , OutFlow             , Liq. Density        , Vapor Density       , Layer Name          , Facies Name         , Source Flag         , Reservoir Flag      ,
 8                   , 1                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Alluvium Gravels    , Facies_1            , 0                   , 0                   ,
 7                   , 2                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Quaternary Clays    , Facies_2            , 0                   , 0                   ,
 6                   , 3                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Pukeora Oyster Beds , Facies_3            , 0                   , 1                   ,
 5                   , 4                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Makaretu MS         , Facies_4            , 0                   , 0                   ,
 4                   , 5                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Te Onepu LS         , Facies_5            , 0                   , 1                   ,
 3                   , 6                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Tuituki Sst         , Facies_6            , 0                   , 1                   ,
 2                   , 7                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , mid-Plio Clay       , Facies_7            , 0                   , 0                   ,
 1                   , 8                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , late Mio Clay       , Facies_8            , 0                   , 0                   ,
 All                 , All                 , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , All                 , All                 , 0                   , 0                   ,

 Event Time in Mabp  , 0                   , HC Masses in Tons   ,
 Layer               , Facies              , Kerogen             , Generated           , Primary             , Secondary In        , Secondary Out       , Accumulated         , Liquid Petroleum    , Gas                 , Water               , Adsorbed            , Migrated            , Inflow              , OutFlow             , Liq. Density        , Vapor Density       , Layer Name          , Facies Name         , Source Flag         , Reservoir Flag      ,
 8                   , 1                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Alluvium Gravels    , Facies_1            , 0                   , 0                   ,
 7                   , 2                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Quaternary Clays    , Facies_2            , 0                   , 0                   ,
 6                   , 3                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Pukeora Oyster Beds , Facies_3            , 0                   , 1                   ,
 5                   , 4                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Makaretu MS         , Facies_4            , 0                   , 0                   ,
 4                   , 5                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Te Onepu LS         , Facies_5            , 0                   , 1                   ,
 3                   , 6                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , Tuituki Sst         , Facies_6            , 0                   , 1                   ,
 2                   , 7                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , mid-Plio Clay       , Facies_7            , 0                   , 0                   ,
 1                   , 8                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , late Mio Clay       , Facies_8            , 0                   , 0                   ,
 All                 , All                 , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 800                 , 1                   , All                 , All                 , 0                   , 0                   ,
